name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Tomiyasu Takehiro,DEF,22,Arsenal,Everton,4.8,0.0,-0.0,0
Pau Torres,DEF,52,Aston Villa,Nottingham Forest,4.4,1.0,0.97,1
Joel Ward,DEF,215,Crystal Palace,Brighton & Hove Albion,4.3,0.25,-0.0,0
Milos Kerkez,DEF,70,Bournemouth,West Ham United,4.6,1.0,2.65,2
Conor Coady,DEF,288,Leicester City,Newcastle United,4.0,1.0,0.74,0
Adam Webster,DEF,147,Brighton & Hove Albion,Crystal Palace,4.3,0.25,-0.0,0
Alex Murphy,DEF,390,Newcastle United,Leicester City,4.0,1.0,-0.0,0
Craig Dawson,DEF,542,Wolverhampton Wanderers,Ipswich Town,4.4,1.0,0.19,0
Marcos Senesi,DEF,79,Bournemouth,West Ham United,4.8,0.0,0.26,0
Jannik Vestergaard,DEF,307,Leicester City,Newcastle United,4.0,1.0,0.05,-1
Luke Thomas,DEF,305,Leicester City,Newcastle United,3.9,1.0,-0.17,0
Adam Smith,DEF,81,Bournemouth,West Ham United,4.5,1.0,2.22,6
Taylor Harwood-Bellis,DEF,461,Southampton,Tottenham Hotspur,4.1,1.0,0.33,0
Lisandro Martínez,DEF,380,Manchester United,Manchester City,4.4,1.0,1.4,6
Joško Gvardiol,DEF,350,Manchester City,Manchester United,6.1,1.0,2.12,7
Joachim Andersen,DEF,191,Fulham,Liverpool,4.2,0.0,1.17,0
Roman Dixon,DEF,627,Everton,Arsenal,4.0,1.0,-0.0,0
Trevoh Chalobah,DEF,159,Crystal Palace,Brighton & Hove Albion,4.4,1.0,0.82,9
Ryan Manning,DEF,467,Southampton,Tottenham Hotspur,4.3,1.0,0.96,0
Vitalii Mykolenko,DEF,231,Everton,Arsenal,4.3,1.0,4.39,7
Nélson Cabral Semedo,DEF,559,Wolverhampton Wanderers,Ipswich Town,4.5,1.0,1.06,1
Benoît Badiashile,DEF,153,Chelsea,Brentford,4.3,1.0,0.37,0
Jack Stephens,DEF,472,Southampton,Tottenham Hotspur,4.0,0.0,0.14,0
Rico Henry,DEF,92,Brentford,Chelsea,4.3,0.0,-0.0,0
Rob Holding,DEF,202,Crystal Palace,Brighton & Hove Albion,4.3,1.0,-0.0,0
Ryan Sessegnon,DEF,579,Fulham,Liverpool,4.2,1.0,0.23,0
Jonny Evans,DEF,371,Manchester United,Manchester City,4.4,0.75,0.35,0
Timothy Castagne,DEF,244,Fulham,Liverpool,4.2,1.0,0.6,1
